arquivo,codigo_sugerido,produto_sugerido,categoria,score,codigo_confirmado
abracadeira_4.8x200_branca.jpeg,403,ABRACADEIRA 4.8X200MM BRANCA,,95.0,
abracadeira_4.8x280_branca.jpeg,510,ABRACADEIRA 4.8X280MM BRANCA,,95.0,
broca_aco_rapido_3.5mm.jpeg,238,BROCA ACO RAPIDO 10X2.5MM,,94.7,
broca_aco_rapido_5.5mm.jpeg,238,BROCA ACO RAPIDO 10X2.5MM,,94.7,
disco_porcelanato_1.jpeg,232,DISCO DIAMETALIC PORCELANATO FU,,94.4,
ralo_9cm_3_4_inox.jpeg,579,RALO 9 3/4 INOX,,93.8,
resistencia-hs-duchinha (1).jpg,65,RESISTENCIA HS DUCHINHA SS 5200 W,,93.8,
ralo_9cm_3_4_inox (1).jpeg,579,RALO 9 3/4 INOX,,92.9,
broca-10x1.5mm (1).jpg,289,"BROCA HSS-G 10X1,5MM",,92.3,
Elástico extensor ap.png,402,"ELASTICO EXTENSOR 1,5M X 8MM",,91.9,
bastao_cola_2.jpeg,389,"BASTAO DE COLA, P/ PISTOLA DE COL",,91.7,
espatula-3 (1).jpg,271,"ESPATULA CABO DE MADEIRA 3 , MAR",,90.9,
PLUG-M-PRETO.jpg,248,PLUG BIG 10A 2P+T PRETO A GRANEL,,90.9,
plug-preto-3.jpg,248,PLUG BIG 10A 2P+T PRETO A GRANEL,,90.9,
maçarico a gás em em.png,25,SQ MACARICO A GAS RECARREGAVEL,,90.3,
broca_aco_rapido_4.2mm.jpeg,309,"BROCA ACO RAPIDO 2,8MM",,90.0,
conector-1e2_mangueira.jpeg,504,CONECTOR DE MANGUEIRA 1/2,,90.0,
broca_aco_rapido_3.2mm.jpeg,309,"BROCA ACO RAPIDO 2,8MM",,90.0,
broca_aco_rapido_3.3mm.jpeg,309,"BROCA ACO RAPIDO 2,8MM",,90.0,
disco-diamantado-110x8-ecco.jpg,202,DISCO DE CORTE DIAMANTADO 110X8,,89.8,
"abracadeira-4,8-150mm-final-branca.jpg",311,ABRACADEIRA DE NYLON BRANCA 4,,89.7,
disco_lixa_gr_60.jpeg,524,"DISCO DE LIXA VELCRO 125MM,GR 060",,89.7,
arco_serra_verde.jpeg,373,ARCO DE SERRA,,89.7,
broca_aco_rapido_6mm.jpeg,309,"BROCA ACO RAPIDO 2,8MM",,89.5,
broca_widea_10x160m_elite.jpeg,519,"BROCA WIDEA 10MM,ELITE",,88.4,
plug-10-branco.jpg,258,PLUG BIG 10A 2P+T BRANCO A GRANE,,88.0,
"broca_aco_rapido_3,25mm.jpeg",309,"BROCA ACO RAPIDO 2,8MM",,87.8,
broca_1.8mm.jpeg,309,"BROCA ACO RAPIDO 2,8MM",,87.5,
broca-5mm-2.jpg,238,BROCA ACO RAPIDO 10X2.5MM,,87.5,
"broca-2,5mm-2.jpg",238,BROCA ACO RAPIDO 10X2.5MM,,87.5,
broca-6mm-3.jpg,554,BROCA PARA CONCRETO 6MM X 100M,,87.5,
bico_extensor_flexivel.jpeg,43,CABO EXTENSOR FLEXIVEL P/PARAFU,,87.2,
colher_10_canto_reto_prata.jpeg,429,COLHER PEDREIRO 10 CANTO RETO 27,,87.0,
