codigo,produto,saldo,unidade,preco_atacado,preco_varejo,fornecedor,categoria,imagem,catalogo
297,"BROCA HSS-G 10X5,5MM","38,000",UN,49.6,0.0,DIAMETALIC FERRA,FERRAMENTAS,297_BROCA_HSS_G_10X5_5MM.jpg,SIM
296,BROCA HSS-G 10X5MM,"35,000",UN,40.0,0.0,DIAMETALIC FERRA,FERRAMENTAS,296_BROCA_HSS_G_10X5MM.jpg,SIM
299,BROCA HSS-G 10X6.5MM,"47,000",UN,64.0,0.0,DIAMETALIC FERRA,FERRAMENTAS,299_BROCA_HSS_G_10X6_5MM.png,SIM
298,BROCA HSS-G 10X6MM,"36,000",UN,56.0,0.0,DIAMETALIC FERRA,FERRAMENTAS,298_BROCA_HSS_G_10X6MM.jpg,SIM
301,BROCA HSS-G 10X7.5MM,"47,000",UN,8.16,0.0,DIAMETALIC FERRA,FERRAMENTAS,301_BROCA_HSS_G_10X7_5MM.jpg,SIM
300,BROCA HSS-G 10X7MM,"39,000",UN,7.2,0.0,DIAMETALIC FERRA,FERRAMENTAS,300_BROCA_HSS_G_10X7MM.jpg,SIM
306,BROCA HSS-G 5X10MM,"48,000",UN,7.04,0.0,DIAMETALIC FERRA,FERRAMENTAS,306_BROCA_HSS_G_5X10MM.png,SIM
308,"BROCA HSS-G 5X12,5MM","20,000",UN,12.0,0.0,DIAMETALIC FERRA,FERRAMENTAS,308_BROCA_HSS_G_5X12_5MM.png,SIM
307,BROCA HSS-G 5X12MM,"49,000",UN,12.0,0.0,DIAMETALIC FERRA,FERRAMENTAS,307_BROCA_HSS_G_5X12MM.png,SIM
302,BROCA HSS-G 5X8MM,"43,000",UN,4.56,0.0,DIAMETALIC FERRA,FERRAMENTAS,302_BROCA_HSS_G_5X8MM.jpg,SIM
304,"BROCA HSS-G 5X9,5MM","49,000",UN,6.64,0.0,DIAMETALIC FERRA,FERRAMENTAS,304_BROCA_HSS_G_5X9_5MM.png,SIM
303,BROCA HSS-G 5X9MM,"49,000",UN,7.5,0.0,DIAMETALIC FERRA,FERRAMENTAS,303_BROCA_HSS_G_5X9MM.png,SIM
530,BROCA MOURAO 1/4 X 250MM,"21,000",PC,12.06,0.0,KL VITORIA - COM. D,FERRAMENTAS,530_BROCA_MOURAO_1_4 X250MM.jpeg,SIM
531,BROCA MOURAO LONGA 9/32 X 250MM,"30,000",PC,12.37,0.0,KL VITORIA - COM. D,FERRAMENTAS,531_BROCA_MOURAO_LONGA_9_32 X250MM.jpeg,SIM
554,BROCA PARA CONCRETO 6MM X 100M,"0,000",UN,0.0,0.0,COLLINS,FERRAMENTAS,,SIM
270,BROCA VIDEA 8X120MM,"-10,000",UN,4.16,0.0,DIAMETALIC FERRA,FERRAMENTAS,270_BROCA_VIDEA_8X120MM.jpg,SIM
283,BROCA WIDEA 10MM,"11,000",UN,5.12,0.0,DIAMETALIC FERRA,FERRAMENTAS,283_BROCA_WIDEA_10MM.jpg,SIM
519,"BROCA WIDEA 10MM,ELITE","36,000",UN,13.26,0.0,KL VITORIA - COM. D,FERRAMENTAS,519_BROCA_WIDEA_10MM_ELITE.jpeg,SIM
284,BROCA WIDEA 12MM,"13,000",UN,8.48,0.0,DIAMETALIC FERRA,FERRAMENTAS,284_BROCA_WIDEA_12x150MM.png,SIM
281,BROCA WIDEA 6MM,"25,000",UN,3.04,0.0,DIAMETALIC FERRA,FERRAMENTAS,281_BROCA_WIDEA_6MM.png,SIM
517,BROCA WIDEA 6MM ELITE,"199,000",UN,3.34,0.0,KL VITORIA - COM. D,FERRAMENTAS,517_BROCA_WIDEA_6MM_ELITE.jpeg,SIM
282,BROCA WIDEA 8MM,"75,000",UN,4.16,0.0,DIAMETALIC FERRA,FERRAMENTAS,282_BROCA_WIDEA_8MM.png,SIM
518,"BROCA WIDEA 8MM, ELITE","193,000",UN,7.33,0.0,KL VITORIA - COM. D,FERRAMENTAS,518_BROCA_WIDEA_8MM_ELITE.jpeg,SIM
522,"BROCA WIDEA SDS PLUS 160X 12MM, E","16,000",UN,9.42,0.0,KL VITORIA - COM. D,FERRAMENTAS,522_BROCA_WIDEA_SDS_PLUS_160X 12MM_ELITE.jpeg,SIM
521,"BROCA WIDEA SDS PLUS 160X10MM,E","95,000",UN,8.06,0.0,KL VITORIA - COM. D,FERRAMENTAS,521_BROCA_WIDEA_SDS_PLUS_160X10MM_ELITE.jpeg,SIM
513,BUCHA FIXACAO ECOLIDER 10 C/ANEL,"10,000",UN,33.6,0.0,,UTILIDADES,513_BUCHA_FIXACAO_ECOLIDER_10_ANEL_CINZA.jpeg,SIM
514,BUCHA FIXACAO ECOLIDER 8 C/ANEL C,"10,000",UN,35.6,0.0,,UTILIDADES,514_BUCHA_FIXACAO_ECOLIDER_8_C_ANEL_CINZA.jpeg,SIM
580,BUCHAS PLASTICAS 8MM,"10,000",UN,29.23,0.0,APLASTEC,FERRAMENTAS,,SIM
43,CABO EXTENSOR FLEXIVEL P/PARAFU,"6,000",UN,19.96,0.0,STARTOOLS FERRA,FERRAMENTAS,43_CABO_EXTENSOR_FLEXIVEL_P_PARAFUSADEIRA_COM_BITS_STARTOOLS.jpg,SIM
442,CHAVE BIELA DE ABERTURA 10MM,"236,000",UN,7.67,0.0,KL VITORIA - COM. D,FERRAMENTAS,442_CHAVE_BIELA_DE_ABERTURA_10MM.jpeg,SIM
443,CHAVE BIELA DE ABERTURA FIXA 11,"220,000",UN,7.47,0.0,KL VITORIA - COM. D,FERRAMENTAS,443_CHAVE_BIELA_DE_ABERTURA_FIXA_11MM.jpeg,SIM
482,CHAVE BIELA TIPO L 17MM,"36,000",UN,13.94,0.0,,FERRAMENTAS,482_CHAVE_BIELA_TIPO_L_17MM.jpeg,SIM
503,CHAVE DE BIELA 13MM,"140,000",UN,8.86,0.0,SETE MARES COMER,FERRAMENTAS,503_CHAVE_DE_BIELA_13MM.jpeg,SIM
444,CHAVE DE BIELA DE ABERTURA FIXA 1,"134,000",UN,7.75,0.0,KL VITORIA - COM. D,FERRAMENTAS,444_CHAVE_DE_BIELA_DE_ABERTURA_FIXA_12MM.jpeg,SIM
445,CHAVE DE BIELA DE ABERTURA FIXA 1,"185,000",UN,9.81,0.0,KL VITORIA - COM. D,FERRAMENTAS,445_CHAVE_DE_BIELA_DE_ABERTURA_FIXA_14MM.jpeg,SIM
446,CHAVE DE BIELA DE ABERTURA FIXA 1,"78,000",UN,10.74,0.0,SETE MARES COMER,FERRAMENTAS,446_CHAVE_DE_BIELA_DE_ABERTURA_FIXA_]15MM.jpeg,SIM
448,CHAVE DE BIELA DE ABERTURA FIXA 8,"290,000",UN,7.64,0.0,SETE MARES COMER,FERRAMENTAS,448_CHAVE_DE_BIELA_DE_ABERTURA_FIXA_8MM.png,SIM
449,CHAVE DE FENDA DE METAL COM CA,"180,000",UN,6.84,0.0,SETE MARES COMER,FERRAMENTAS,,SIM
558,CHAVE DE RODA 17-19-21-23 ACO,"20,000",UN,42.3,0.0,SETE MARES COMER,FERRAMENTAS,558_CHAVE_DE_RODA_17_19_21_23_ACO.jpeg,SIM
224,CHAVE PARA ESMERILHADEIRA,"100,000",UN,14.1,0.0,SETE MARES COMER,FERRAMENTAS,224_CHAVE_PARA_ESMERILHADEIRA.jpg,SIM
240,CHUVEIRO BELA DUCHA LOROZETTI 6,"0,000",UN,72.11,0.0,,ELETRICA,,SIM
578,CHUVEIRO ZAGONEL BALLERINA 3T,"8,000",UN,59.99,0.0,,ELETRICA,,SIM
451,CINTA DE NAILON,"48,000",UN,13.92,0.0,SETE MARES COMER,FERRAMENTAS,,SIM
390,COLHER PEDREIRO 7,"96,000",UN,8.54,0.0,SETE MARES COMER,FERRAMENTAS,390_COLHER _PEDREIRO_7.jpeg,SIM
435,COLHER PEDREIRO REDONDO 10 18KG,"48,000",UN,25.23,0.0,,FERRAMENTAS,435_COLHER_PEDREIRO_REDONDO_10_18KG.jpeg,SIM
