linha
SENNA FIX
LISTAGEM DE PRODUTOS 22/06/2026 11:32:38
página: 1 de 10
Geral
Código Descricao Local. Saldo Un Atacado Varejo Fornecedor
"291 BROCA HSS-G 10X2,5MM 50,000 UN 11,200000 0,000000 DIAMETALIC FERRA"
"290 BROCA HSS-G 10X2MM 49,000 UN 11,200000 0,000000 DIAMETALIC FERRA"
"293 BROCA HSS-G 10X3,5MM 50,000 UN 20,800000 0,000000 DIAMETALIC FERRA"
"292 BROCA HSS-G 10X3MM 31,000 UN 20,800000 0,000000 DIAMETALIC FERRA"
"295 BROCA HSS-G 10X4,5MM 44,000 UN 33,600000 0,000000 DIAMETALIC FERRA"
"294 BROCA HSS-G 10X4MM 52,000 UN 27,200000 0,000000 DIAMETALIC FERRA"
"297 BROCA HSS-G 10X5,5MM 38,000 UN 49,600000 0,000000 DIAMETALIC FERRA"
"296 BROCA HSS-G 10X5MM 35,000 UN 40,000000 0,000000 DIAMETALIC FERRA"
"299 BROCA HSS-G 10X6.5MM 47,000 UN 64,000000 0,000000 DIAMETALIC FERRA"
"298 BROCA HSS-G 10X6MM 36,000 UN 56,000000 0,000000 DIAMETALIC FERRA"
"301 BROCA HSS-G 10X7.5MM 47,000 UN 8,160000 0,000000 DIAMETALIC FERRA"
"300 BROCA HSS-G 10X7MM 39,000 UN 7,200000 0,000000 DIAMETALIC FERRA"
"306 BROCA HSS-G 5X10MM 48,000 UN 7,040000 0,000000 DIAMETALIC FERRA"
"308 BROCA HSS-G 5X12,5MM 20,000 UN 12,000000 0,000000 DIAMETALIC FERRA"
"307 BROCA HSS-G 5X12MM 49,000 UN 12,000000 0,000000 DIAMETALIC FERRA"
"302 BROCA HSS-G 5X8MM 43,000 UN 4,560000 0,000000 DIAMETALIC FERRA"
"304 BROCA HSS-G 5X9,5MM 49,000 UN 6,640000 0,000000 DIAMETALIC FERRA"
"303 BROCA HSS-G 5X9MM 49,000 UN 7,500000 0,000000 DIAMETALIC FERRA"
"530 BROCA MOURAO 1/4 X 250MM 21,000 PC 12,060000 0,000000 KL VITORIA - COM. D"
"531 BROCA MOURAO LONGA 9/32 X 250MM 30,000 PC 12,370000 0,000000 KL VITORIA - COM. D"
"554 BROCA PARA CONCRETO 6MM X 100M 0,000 UN 0,000000 0,000000 COLLINS"
"270 BROCA VIDEA 8X120MM -10,000 UN 4,160000 0,000000 DIAMETALIC FERRA"
"283 BROCA WIDEA 10MM 11,000 UN 5,120000 0,000000 DIAMETALIC FERRA"
"519 BROCA WIDEA 10MM,ELITE 36,000 UN 13,260000 0,000000 KL VITORIA - COM. D"
"284 BROCA WIDEA 12MM 13,000 UN 8,480000 0,000000 DIAMETALIC FERRA"
