codigo,produto,saldo,unidade,preco_atacado,preco_varejo,fornecedor,categoria
353,PARAF AUTO BROCANTE ARRUELA MO,"6,000",CT,83.33,0.0,KL VITORIA - COM. D,FERRAMENTAS
416,PARAF AUTO BROCANTE COSTURA AR,"4,000",CT,110.72,0.0,KL VITORIA - COM. D,FERRAMENTAS
422,PARAF AUTO BROCANTE PLACA CIME,"10,000",CT,23.36,0.0,KL VITORIA-COM.D,FERRAMENTAS
440,PARAF AUTO PERFURANTE BICROMAT,"15,000",CT,104.5,0.0,KL VITORIA - COM. D,FERRAMENTAS
326,PARAF AUTO PERFURANTE STEEL TILE,"10,000",CT,95.47,0.0,,FERRAMENTAS
329,PARAF AUTO PERFURANTE STEEL TILE,"5,000",CT,112.0,0.0,KL VITORIA - COM. D,FERRAMENTAS
241,PARAF DRAYWALL FORRO CABECA PH,"48,000",CT,75.65,0.0,KL VITORIA - COM. D,FERRAMENTAS
494,PARAF DRYWALL FORRO CABECA PHI,"56,000",CT,34.86,0.0,,FERRAMENTAS
335,PARAF DRYWALL FORRO CABECA PHI,"24,000",CT,53.64,0.0,KL VITORIA - COM. D,FERRAMENTAS
492,PARAF DRYWALL FORRO CABECA PHI,"42,000",CT,76.72,0.0,,FERRAMENTAS
484,PARAFUSO CHIP 4.0 X 40 CHATA -ROSC,"210,000",CT,8.91,0.0,,FERRAMENTAS
488,PARAFUSO CHIP 4.0 X 50 CHATA PHS -,"498,000",CT,13.14,0.0,,FERRAMENTAS
483,PARAFUSO CHIP 5.0 X 30 CHATA -ROSC,"746,000",CT,8.28,0.0,,FERRAMENTAS
485,PARAFUSO CHIP 5.0 X 40 CHATA -ROSC,"390,000",CT,10.8,0.0,,FERRAMENTAS
486,PARAFUSO CHIP 5.0 X 50 CHATA -ROSC,"456,000",CT,13.12,0.0,,FERRAMENTAS
489,PARAFUSO CHIP 5.0 X 70 CHATA -ROSC,"500,000",CT,14.37,0.0,,FERRAMENTAS
487,PARAFUSO CHIP 6.0 X 50 CHATA PHS -,"322,000",CT,14.9,0.0,,FERRAMENTAS
490,PARAFUSO CHIP 6.0 X 60 CHATA -ROSC,"500,000",CT,18.34,0.0,,FERRAMENTAS
491,PARAFUSO CHIP 6.0 X 70 CHATA PHS -,"500,000",CT,21.22,0.0,,FERRAMENTAS
